actor1,actor2,weight
3052237,3817690,67.775
3106765,3106770,0.6
3106765,3793804,0.6
3106765,3793827,0.6
3106765,3793842,0.6
3106770,3793804,0.6
3106770,3793827,0.6
3106770,3793842,0.6
3793804,3793827,0.6
3793804,3793842,0.6
3793827,3793842,0.6
3813991,3813994,0.944
3813991,3813995,0.944
3813991,3813997,0.944
3813991,3814001,0.944
3813994,3813995,0.944
3813994,3813997,0.944
3813994,3814001,0.944
3813995,3813997,0.944
3813995,3814001,0.944
3813997,3814001,0.944
3817610,3817629,67.775
3817610,3817635,67.775
3817610,3817637,67.775
3817610,3817649,67.775
3817610,3817652,67.775
3817610,3817687,67.775
3817610,3817690,67.775
3817629,3817635,67.775
3817629,3817637,67.775
3817629,3817649,67.775
3817629,3817652,67.775
3817629,3817687,67.775
3817629,3817690,67.775
3817635,3817637,67.775
3817635,3817649,67.775
3817635,3817652,67.775
3817635,3817687,67.775
3817635,3817690,67.775
3817637,3817649,67.775
3817637,3817652,67.775
3817637,3817687,67.775
3817637,3817690,67.775
3817649,3817652,67.775
3817649,3817687,67.775
3817649,3817690,67.775
3817652,3817687,67.775
3817652,3817690,67.775
3817687,3817690,67.775
